Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
450 triệu,55 m,Đường Bà Điểm 4, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,_,Y,Cần bán,25m,Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,Y,5m,6,Y,12m,2,---
"4,9 tỷ",60 m,Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,_,Y,Cần bán,12m,Y,Nhà trong hẻm,---,Y,4m,3,Y,15m,4,---
"1,45 tỷ",100 m,Đường Hoàng Hữu Nam, Phường Long Bình, Quận 9, Hồ Chí Minh,_,---,Cần bán,20m,---,"Đất nền, liền kề, đất dự án",---,---,5m,---,---,20m,---,---
"1,6 tỷ",30 m,Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,_,Y,Cần bán,8m,Y,Nhà trong hẻm,Giấy tờ hợp lệ,Y,"3,5m",2,Y,9m,3,---
2 tỷ,72 m,hẻm 41 Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,5m",1,---,16m,2,---
"1,75 tỷ",250 m,Đường Nguyễn Văn Bứa, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,_,---,Cần bán,6m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,10m,---,---,25m,---,---
3 tỷ,100 m,Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,4,Y,20m,4,---
"2,1 tỷ",130 m,Đường Nguyễn Thị Lăng, Xã Tân Phú Trung, Huyện Củ Chi, Hồ Chí Minh,_,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"9,8m",1,---,14m,1,---
"32,9 tỷ",99 m,Đường Nguyễn Tri Phương, Phường 7, Quận 5, Hồ Chí Minh,_,---,Cần bán,30m,---,Nhà mặt tiền,---,---,4m,2,---,25m,3,---
"1,53 tỷ",80 m,Đường Quốc Lộ 1A, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,_,---,Cần bán,40m,---,"Đất nền, liền kề, đất dự án",---,---,5m,---,---,16m,---,---
"2,3 tỷ",97 m,Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh,Đông Nam,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"5,4m",---,---,18m,---,---
"1,8 tỷ",80 m,Đường Nguyễn Hoàng, Phường An Phú, Quận 2, Hồ Chí Minh,_,---,Cần bán,16m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,16m,---,---
